t Conference,title,status,site,track,project,github,pdf,youtube,author,aff,oa,arxiv,id,session,pid,year,author_site,abstract,supp,gs_citation,gs_cited_by_link,gs_version_total,aff_domain,email,author_num,aff_unique_index,aff_unique_norm,aff_unique_dep,aff_unique_url,aff_unique_abbr,aff_campus_unique_index,aff_campus_unique,aff_country_unique_index,aff_country_unique,error,video,poster,openreview,keywords,primary_area,authorids,position,rating,confidence,rating_avg,confidence_avg,replies_avg,authors#_avg,corr_rating_confidence,strengths,limitations,suitability,strengths_avg,limitations_avg,suitability_avg,novelty,technical_quality,scope,novelty_avg,technical_quality_avg,scope_avg,corr_novelty_confidence,proceeding,slides,tldr,gender,homepage,dblp,google_scholar,bibtex,reviewers,pdf_size,award,correctness,presentation,correctness_avg,presentation_avg,corr_rating_correctness,authors,ssid,psid,sess,doi,url_paper,url_sess,title_site,or,recommendation,technical_novelty,empirical_novelty,recommendation_avg,technical_novelty_avg,empirical_novelty_avg,corr_recommendation_confidence,corr_recommendation_correctness,N_author_aff_email,soundness,contribution,soundness_avg,contribution_avg,excitement,reproducibility,excitement_avg,reproducibility_avg
AAAI,1.0,1.0,1.0,1.0,0.07367586146117916,0.26042125671983785,1.0,0.0,1.0,0.999383096853794,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.998325548603155,0.0,1.0,0.9986780646867013,1.0,1.0,1.0,1.0,0.9978849034987222,0.9978849034987222,0.8810258218031197,0.9888076143474046,0.975147616109985,0.6288005640257337,0.5622631532563673,0.9957698069974442,0.9957698069974442,0.0,0.0,0.0,0.0,0.0,0.924209042037543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7368467436326782,0.0,0.9987661937075879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2619194500749097,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACL,1.0,1.0,1.0,1.0,0.06429070580013976,0.45772187281621246,1.0,0.0,1.0,0.9998252969951084,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.9963312368972747,1.0,1.0,1.0,1.0,0.9942348008385744,0.9942348008385744,0.8784067085953878,0.9868972746331237,0.9804332634521313,0.6175751222921034,0.532669461914745,0.9909154437456325,0.9905660377358491,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9996505939902166,0.0,0.9947589098532494,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACM MM,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9991289198606271,0.9973867595818815,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9973867595818815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9991289198606271,0.9991289198606271,0.9973867595818815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.020905923344947737,0.0313588850174216,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AISTATS,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.988013698630137,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.988013698630137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.988013698630137,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CVPR,1.0,0.9986466002598527,0.572325682113469,0.9986466002598527,0.09701169337375487,0.2407968817669987,0.8419770463404072,0.0,0.9915547856214811,0.8290385448245994,0.7021437851883933,0.41635989605889995,0.4307600692940667,0.11168254655695106,0.20160242529233435,1.0,0.4757470766565613,0.4682221741013426,0.38777609354699005,0.47655911650064964,0.4762343005630143,0.47655911650064964,0.47655911650064964,0.47655911650064964,0.47655911650064964,0.42951494153313124,0.42951494153313124,0.3707232568211347,0.4271329579904721,0.424696838458207,0.2272628843655262,0.1829796448679082,0.4279991338241663,0.4279991338241663,0.020409268081420528,0.20869423993070593,0.11585101775660459,0.14703334776959723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoLM,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.9966555183946488,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9966555183946488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.9966555183946488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CoRL,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.998769987699877,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.998769987699877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.992619926199262,0.0,1.0,0.998769987699877,1.0,0.5694956949569495,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ECCV,1.0,1.0,1.0,1.0,0.140398798142584,0.39278885550396064,0.6739961759082218,0.0,1.0,0.6648456705818082,0.0,0.0,0.3260038240917782,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12605845397432394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6739961759082218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMNLP,1.0,1.0,0.7174825174825175,1.0,0.053286713286713284,0.2974825174825175,0.7173426573426573,0.0,1.0,0.9983216783216783,0.0,0.0,0.9998601398601399,0.0,0.0,1.0,0.0,1.0,0.0,0.7174825174825175,0.7155244755244755,0.7174825174825175,0.9995804195804195,0.7174825174825175,0.7174825174825175,0.9309090909090909,0.9307692307692308,0.7572027972027972,0.9257342657342658,0.9183216783216783,0.4993006993006993,0.4488111888111888,0.9268531468531469,0.9264335664335664,0.0,0.0,0.0,0.0,0.28251748251748254,0.0,1.0,0.2820979020979021,0.2818181818181818,0.28251748251748254,0.28251748251748254,0.28251748251748254,0.28251748251748254,0.28251748251748254,0.28251748251748254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804195804195804,0.2818181818181818,0.2816783216783217,0.2818181818181818,1.0,0.28251748251748254,0.7137062937062937,0.7174825174825175,0.28251748251748254,0.0,0.28251748251748254,0.0,0.28251748251748254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28251748251748254,0.28013986013986014,0.28251748251748254,0.28251748251748254
ICCV,1.0,0.9970764733035852,0.07278042775811663,0.9970764733035852,0.0963225111555624,0.2792737344206801,0.9853823665179259,0.0,0.9938452069549162,0.9803046622557317,0.918756731804893,0.4102169564548392,0.007693491306354824,0.5873211263271273,0.5796276350207724,1.0,0.578858285890137,0.5736267118018157,0.4548392060316972,0.5797815048468995,0.5797815048468995,0.5797815048468995,0.5797815048468995,0.5797815048468995,0.5797815048468995,0.49699953839052163,0.49699953839052163,0.4257578088936759,0.49499923065086937,0.49146022464994615,0.2628096630250808,0.21326357901215573,0.49576857978150485,0.49576857978150485,0.033851361747961224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
