,gs_citation,rating_avg,confidence_avg,replies_avg,authors#_avg,correctness_avg,presentation_avg,recommendation_avg,technical_novelty_avg,empirical_novelty_avg,soundness_avg,contribution_avg
gs_citation,1.0,,,,0.11765239719096401,,,,,,,
rating_avg,,,,,,,,,,,,
confidence_avg,,,,,,,,,,,,
replies_avg,,,,,,,,,,,,
authors#_avg,0.11765239719096401,,,,1.0,,,,,,,
correctness_avg,,,,,,,,,,,,
presentation_avg,,,,,,,,,,,,
recommendation_avg,,,,,,,,,,,,
technical_novelty_avg,,,,,,,,,,,,
empirical_novelty_avg,,,,,,,,,,,,
soundness_avg,,,,,,,,,,,,
contribution_avg,,,,,,,,,,,,
