time,meeting,origin,dest,count
2025-01-01,iclr,12,12,626
2024-01-01,iclr,12,12,409
2024-01-01,nips,12,12,278
2025-01-01,iclr,5,5,240
2023-01-01,iclr,12,12,228
2024-01-01,iclr,5,5,219
2023-01-01,nips,12,12,202
2021-01-01,nips,12,12,188
2023-01-01,iclr,5,5,182
2025-01-01,iclr,25,25,161
2024-01-01,icml,12,12,147
2021-01-01,iclr,12,12,146
2022-01-01,nips,12,12,146
2023-01-01,nips,5,5,146
2024-01-01,emnlp,12,12,140
2025-01-01,iclr,0,0,135
2025-01-01,iclr,37,37,134
2022-01-01,iclr,12,12,134
2021-01-01,iclr,5,5,128
2023-01-01,icml,12,12,128
2022-01-01,iclr,5,5,128
2021-01-01,nips,5,5,115
2024-01-01,iclr,16,16,113
2024-01-01,nips,30,30,112
2025-01-01,iclr,60,60,108
2025-01-01,iclr,41,41,107
2022-01-01,nips,5,5,105
2023-01-01,emnlp,12,12,101
2024-01-01,iclr,0,0,100
2024-01-01,nips,5,5,100
2025-01-01,aaai,10,10,95
2024-01-01,icml,5,5,88
2024-01-01,acl,25,25,88
2024-01-01,nips,0,0,87
2024-01-01,iclr,41,41,86
2025-01-01,iclr,30,30,85
2024-01-01,aaai,10,10,83
2025-01-01,iclr,44,44,81
2023-01-01,iclr,0,0,76
2025-01-01,iclr,16,16,76
2025-01-01,aaai,32,32,72
2023-01-01,acl,12,12,70
2025-01-01,iclr,42,42,70
2025-01-01,aaai,26,26,68
2024-01-01,corl,12,12,68
2023-01-01,iclr,16,16,66
2024-01-01,nips,41,41,66
2025-01-01,iclr,6,6,66
2025-01-01,iclr,12,5,66
2025-01-01,iclr,10,10,65
2024-01-01,aaai,12,12,63
2022-01-01,emnlp,12,12,62
2024-01-01,iclr,25,25,61
2024-01-01,acmmm,10,10,60
2024-01-01,iclr,60,60,60
2024-01-01,nips,60,60,60
2021-01-01,emnlp,12,12,59
2023-01-01,iclr,60,60,59
2023-01-01,iclr,41,41,59
2025-01-01,iclr,36,36,58
2023-01-01,nips,30,30,58
2024-01-01,iclr,30,30,57
2022-01-01,nips,41,41,56
2023-01-01,icml,5,5,56
2025-01-01,aaai,25,25,55
2024-01-01,cvpr,10,10,55
2023-01-01,nips,0,0,54
2025-01-01,iclr,8,8,54
2024-01-01,acl,12,12,54
2024-01-01,iclr,12,5,53
2021-01-01,aaai,12,12,52
2022-01-01,nips,30,30,51
2024-01-01,iclr,36,36,51
2024-01-01,nips,25,25,50
2023-01-01,corl,12,12,50
2021-01-01,iclr,6,6,50
2024-01-01,nips,36,36,49
2022-01-01,corl,12,12,49
2023-01-01,emnlp,16,16,48
2023-01-01,nips,41,41,48
2024-01-01,iclr,37,37,46
2024-01-01,iclr,8,8,45
2024-01-01,emnlp,36,36,45
2023-01-01,iclr,36,36,45
2024-01-01,cvpr,60,60,45
2024-01-01,icml,41,41,45
2023-01-01,iclr,30,30,44
2023-01-01,nips,16,16,44
2024-01-01,acl,10,10,43
2024-01-01,iclr,6,6,43
2022-01-01,nips,0,0,43
2022-01-01,iclr,0,0,42
2022-01-01,iclr,41,41,42
2022-01-01,nips,16,16,42
2023-01-01,emnlp,5,5,42
2024-01-01,nips,37,37,42
2022-01-01,acl,12,12,41
2021-01-01,iclr,12,5,41
2023-01-01,iccv,12,12,40
2022-01-01,iclr,16,16,40
2022-01-01,cvpr,10,10,39
2024-01-01,nips,16,16,39
2024-01-01,emnlp,25,25,39
2024-01-01,nips,8,8,39
2022-01-01,iclr,60,60,39
2023-01-01,acl,0,0,38
2022-01-01,cvpr,12,12,38
2022-01-01,nips,6,6,38
2024-01-01,nips,10,10,38
2025-01-01,aaai,140,140,38
2023-01-01,aaai,12,12,38
2021-01-01,nips,30,30,38
2024-01-01,emnlp,30,30,38
2024-01-01,iclr,16,9,37
2022-01-01,cvpr,26,26,37
2023-01-01,iccv,10,10,37
2021-01-01,nips,41,41,37
2022-01-01,aaai,12,12,37
2023-01-01,cvpr,10,10,37
2023-01-01,cvpr,12,12,37
2023-01-01,emnlp,25,25,37
2022-01-01,corl,5,5,37
2023-01-01,cvpr,26,26,37
2025-01-01,iclr,14,14,36
2023-01-01,iclr,25,25,36
2021-01-01,nips,16,16,36
2024-01-01,icml,0,0,34
2024-01-01,aaai,32,32,34
2021-01-01,iclr,41,41,34
2024-01-01,cvpr,12,12,34
2023-01-01,iclr,12,5,34
2024-01-01,cvpr,32,32,34
2024-01-01,colm,12,12,33
2025-01-01,aaai,85,85,33
2023-01-01,iclr,6,6,33
2023-01-01,nips,8,8,33
2025-01-01,iclr,156,156,32
2024-01-01,nips,32,32,32
2024-01-01,acmmm,37,37,32
2023-01-01,corl,5,5,32
2021-01-01,corl,5,5,31
2022-01-01,ijcai,10,10,31
2025-01-01,iclr,57,57,31
2024-01-01,acl,0,0,31
2023-01-01,nips,60,60,31
2023-01-01,aaai,10,10,31
2023-01-01,cvpr,60,60,30
2021-01-01,iclr,16,16,30
2023-01-01,nips,36,36,30
2024-01-01,acl,178,178,30
2021-01-01,nips,0,0,29
2025-01-01,iclr,178,178,29
2023-01-01,nips,30,178,29
2024-01-01,colm,5,5,29
2024-01-01,emnlp,0,0,29
2024-01-01,acmmm,32,32,29
2021-01-01,nips,36,36,29
2023-01-01,emnlp,37,37,28
2023-01-01,ijcai,10,10,28
2025-01-01,aaai,12,12,28
2025-01-01,iclr,4,4,28
2023-01-01,acl,36,36,28
2024-01-01,aaai,60,60,28
2024-01-01,aaai,26,26,28
2021-01-01,iccv,32,32,27
2022-01-01,nips,36,36,27
2024-01-01,ijcai,10,10,27
2024-01-01,iclr,57,57,27
2023-01-01,aaai,32,32,27
2023-01-01,emnlp,9,16,27
2024-01-01,emnlp,16,16,26
2023-01-01,cvpr,16,16,26
2025-01-01,iclr,9,16,26
2024-01-01,iclr,9,16,26
2023-01-01,cvpr,36,36,26
2025-01-01,iclr,32,32,26
2025-01-01,iclr,70,70,26
2023-01-01,acl,30,30,25
2025-01-01,iclr,171,171,25
2022-01-01,iclr,12,5,25
2023-01-01,nips,25,25,25
2025-01-01,iclr,37,357,25
2024-01-01,nips,6,6,25
2023-01-01,emnlp,36,36,25
2023-01-01,emnlp,30,30,25
2024-01-01,iclr,4,4,25
2024-01-01,iclr,44,44,25
2025-01-01,aaai,8,8,25
2024-01-01,emnlp,42,42,25
2022-01-01,nips,25,25,25
2025-01-01,iclr,291,291,25
2024-01-01,cvpr,8,8,24
2023-01-01,acl,10,10,24
2023-01-01,nips,12,5,24
2021-01-01,nips,6,6,24
2022-01-01,acl,42,42,24
2024-01-01,cvpr,26,26,24
2025-01-01,iclr,55,55,24
2022-01-01,cvpr,16,16,24
2024-01-01,iclr,9,9,24
2023-01-01,aaai,25,25,24
2024-01-01,www,25,25,24
2024-01-01,colm,30,30,24
2024-01-01,aaai,25,25,23
2023-01-01,corl,0,0,23
2023-01-01,nips,37,37,23
2021-01-01,corl,12,12,23
2021-01-01,iclr,0,0,23
2022-01-01,emnlp,36,36,23
2023-01-01,icml,0,0,23
2023-01-01,iclr,37,37,23
2024-01-01,acmmm,25,25,23
2022-01-01,iclr,6,6,23
2025-01-01,iclr,30,5,22
2021-01-01,iccv,12,12,22
2023-01-01,cvpr,32,32,22
2022-01-01,nips,12,16,22
2024-01-01,aaai,42,42,22
2025-01-01,aaai,60,60,22
2024-01-01,nips,12,5,22
2025-01-01,iclr,214,214,22
2023-01-01,emnlp,57,57,22
2025-01-01,aaai,109,109,22
2024-01-01,acmmm,8,8,22
2025-01-01,aaai,74,74,22
2024-01-01,nips,178,178,21
2021-01-01,iccv,10,10,21
2021-01-01,iclr,30,30,21
2025-01-01,iclr,178,30,21
2023-01-01,emnlp,41,41,21
2025-01-01,aistats,12,12,21
2025-01-01,aaai,44,44,21
2023-01-01,iclr,16,9,21
2025-01-01,aaai,42,42,21
2022-01-01,emnlp,25,25,21
2022-01-01,nips,60,60,21
2024-01-01,emnlp,60,60,21
2024-01-01,siggraphasia,16,16,20
2024-01-01,cvpr,5,5,20
2025-01-01,aaai,59,59,20
2021-01-01,nips,16,9,20
2025-01-01,aaai,18,18,20
2024-01-01,acl,57,57,20
2025-01-01,iclr,16,9,20
2021-01-01,nips,12,5,20
2025-01-01,aaai,11,11,20
2023-01-01,nips,6,6,20
2021-01-01,aaai,10,10,20
2023-01-01,acl,16,16,19
2024-01-01,iclr,12,16,19
2021-01-01,nips,60,60,19
2023-01-01,iclr,42,42,19
2024-01-01,cvpr,0,0,19
2024-01-01,acl,30,30,19
2023-01-01,iccv,26,26,19
2025-01-01,iclr,41,5,19
2022-01-01,cvpr,5,5,19
2022-01-01,nips,37,37,19
2023-01-01,icml,41,41,19
2022-01-01,iclr,25,25,19
2021-01-01,aaai,9,9,19
2025-01-01,iclr,142,142,19
2025-01-01,iclr,306,306,19
2023-01-01,acl,25,25,19
2021-01-01,cvpr,12,12,18
2023-01-01,icml,12,5,18
2024-01-01,icml,60,60,18
2021-01-01,emnlp,57,57,18
2024-01-01,icml,36,36,18
2024-01-01,acl,16,16,18
2021-01-01,iclr,229,229,18
2023-01-01,nips,42,42,18
2023-01-01,aaai,26,26,18
2025-01-01,iclr,357,37,18
2022-01-01,cvpr,36,36,18
2021-01-01,iclr,60,60,18
2024-01-01,iclr,30,178,18
2023-01-01,iclr,57,57,18
2022-01-01,aaai,10,10,18
2023-01-01,iclr,8,8,18
2023-01-01,iccv,8,8,18
2021-01-01,nips,27,27,18
2025-01-01,iclr,167,167,17
2021-01-01,iclr,57,57,17
2023-01-01,acl,32,32,17
2024-01-01,nips,44,44,17
2023-01-01,ijcai,44,44,17
2024-01-01,nips,16,9,17
2023-01-01,nips,4,4,17
2021-01-01,acl,12,12,17
2023-01-01,aaai,44,44,17
2024-01-01,ijcai,26,26,17
2024-01-01,cvpr,42,42,16
2024-01-01,iclr,67,67,16
2024-01-01,iclr,14,14,16
2025-01-01,iclr,103,103,16
2022-01-01,emnlp,30,30,16
2024-01-01,aaai,8,8,16
2022-01-01,cvpr,60,60,16
2022-01-01,emnlp,0,0,16
2025-01-01,aaai,217,217,16
2024-01-01,acmmm,180,180,16
2022-01-01,nips,42,42,16
2023-01-01,nips,10,10,16
2021-01-01,emnlp,5,5,16
2022-01-01,aaai,32,32,16
2024-01-01,iclr,180,180,16
2024-01-01,iclr,104,104,16
2025-01-01,aaai,174,174,16
2023-01-01,icml,36,36,16
2022-01-01,iclr,16,9,16
2024-01-01,acmmm,156,156,16
2022-01-01,iclr,30,30,16
2024-01-01,emnlp,5,5,16
2024-01-01,iclr,42,42,16
2021-01-01,cvpr,32,32,16
2021-01-01,aaai,32,32,16
2023-01-01,acl,57,57,15
2025-01-01,iclr,67,67,15
2021-01-01,iclr,6,5,15
2023-01-01,cvpr,41,41,15
2024-01-01,cvpr,13,13,15
2024-01-01,iclr,32,32,15
2024-01-01,icml,10,10,15
2021-01-01,cvpr,26,26,15
2024-01-01,aaai,44,44,15
2023-01-01,iccv,32,32,15
2024-01-01,iclr,291,291,15
2023-01-01,cvpr,8,8,15
2024-01-01,siggraphasia,87,87,15
2024-01-01,nips,57,57,15
2024-01-01,cvpr,14,14,15
2024-01-01,aaai,36,36,15
2021-01-01,iccv,36,36,15
2024-01-01,icml,16,16,15
2024-01-01,ijcai,25,25,15
2024-01-01,nips,30,178,15
2023-01-01,icml,60,60,15
2023-01-01,iclr,4,4,15
2024-01-01,acmmm,18,18,15
2024-01-01,emnlp,9,9,15
2025-01-01,iclr,12,16,15
2023-01-01,corl,30,30,14
2023-01-01,emnlp,9,9,14
2023-01-01,aaai,60,60,14
