id,name,latitude,longitude
0,Georgia Institute of Technology,33.749,-84.38798
1,Toyota Research Institute,37.44188,-122.14302
2,University of Kentucky,37.98869,-84.47772
3,Oregon State University,44.56457,-123.26204
4,Brown University,41.82399,-71.41283
5,Google,37.38605,-122.08385
6,University of Toronto,43.70643,-79.39864
7,Max Planck Institute for Informatics,49.23262,7.00982
8,Beijing Institute of Technology,39.9075,116.39723
9,Microsoft Research,52.2,0.11667
10,Wuhan University,30.58333,114.26667
11,Shanghai University,31.22222,121.45806
12,University of California,37.87159,-122.27275
13,Stony Brook University,40.92565,-73.14094
14,King Abdullah University of Science and Technology,21.49012,39.18624
15,Nagoya Institute of Technology,35.18147,136.9064
16,Microsoft,47.67399,-122.12151
17,Japan,35.6895,139.69171
18,Fuzhou University,26.06139,119.30611
19,Agricultural Information Institute,39.9075,116.39723
20,Indian Institute of Technology Ropar,30.96896,76.52695
21,University of Nottingham,52.9536,-1.15047
22,Abu Dhabi,24.45118,54.39696
23,INDIA,28.62137,77.2148
24,Washington University in St. Louis,38.62727,-90.19789
25,Renmin University of China,39.9075,116.39723
26,Northwestern Polytechnical University,34.25833,108.92861
27,Technion,32.81841,34.9885
28,Graz University of Technology,47.06667,15.45
29,Haifa,32.81841,34.9885
30,University of Washington,47.60621,-122.33207
31,Israel,42.35843,-71.05977
32,Nanjing University of Science and Technology,32.06167,118.77778
33,Electronics and Telecommunications Research Institute,36.34913,127.38493
34,HKUST,20.31261,110.16439
35,Guangzhou Laboratory,23.11667,113.25
36,Columbia University,40.71427,-74.00597
37,Institute of Automation,39.9075,116.39723
38,Chinese Academy of Sciences,39.9075,116.39723
39,Lebanese American University,33.89332,35.50157
40,University of Exeter,50.7236,-3.52751
41,Princeton University,40.34872,-74.65905
42,Arizona State University,33.41477,-111.90931
43,Institute of Computer Science,52.22977,21.01178
44,University of Virginia,38.02931,-78.47668
45,York University,40.71427,-74.00597
46,Xi’an,31.30408,120.59538
47,Ann Arbor,42.27756,-83.74088
48,Shaanxi,34.25833,108.92861
49,Preferred Networks,35.6895,139.69171
50,Keio University,35.6895,139.69171
51,University of Liverpool,53.41058,-2.97794
52,Beijing Language and Culture University,39.9075,116.39723
53,École de Technologie Supérieure,45.50884,-73.58781
54,University of Minnesota,44.97997,-93.26384
55,North Carolina State University,35.7721,-78.63861
56,Tel-Aviv University,32.08088,34.78057
57,University of Edinburgh,55.95206,-3.19648
58,West Lafayette,40.42587,-86.90807
59,Harbin Engineering University,45.75,126.65
60,Purdue University,40.42587,-86.90807
61,UiT The Arctic University of Norway,69.6489,18.95508
62,University of Crete,35.36555,24.48232
63,Indiana University,39.16533,-86.52639
64,Center for Applied Mathematics,43.26271,-2.92528
65,University of Freiburg,47.9959,7.85222
66,China University of Mining and Technology,34.20442,117.28386
67,Zhejiang Lab,30.29365,120.16142
68,Davis,38.54491,-121.74052
69,Tianjin,39.14222,117.17667
70,Institute of Software,39.9075,116.39723
71,Verisk Analytics,40.72816,-74.07764
72,Marne-la-Vallée,48.85341,2.3488
73,Huaqiao University,24.47979,118.08187
74,Chongqing University,29.56026,106.55771
75,Children’s Hospital,51.9225,4.47917
76,Imperial College,51.50853,-0.12574
77,The University of Queensland,-27.46794,153.02809
78,National Technical University of Athens,37.98376,23.72784
79,Indian Statistical Institute,22.56263,88.36304
80,Sullivan Nicolaides Pathology,-27.46794,153.02809
81,University of West Attica,37.98376,23.72784
82,Beth Israel Deaconess Medical Center,42.35843,-71.05977
83,University of Patras,38.24444,21.73444
84,Hunan First Normal University,28.19874,112.97087
85,Central South University,28.19874,112.97087
86,France.,48.85341,2.3488
87,Chinese University of Hong Kong,22.27832,114.17469
88,Universidade Federal de Minas Gerais,-19.92083,-43.93778
89,Lancaster University,54.04649,-2.79988
90,Radboud University,51.8425,5.85278
91,Bournemouth University,50.71429,-1.98458
