name,latitude,longitude,country
Georgia Institute of Technology,33.749,-84.38798,US
 Facebook AI Research,,,
Oregon State University,44.56457,-123.26204,US
Brown University,41.82399,-71.41283,US
 NEC Labs America (Work done as a NEC Labs intern),,,
 NEC Labs America,,,
National Chi Nan University,23.96639,120.96952,TW
Toyota Research Institute (TRI),,,
"Peng Cheng Laboratory, Shenzhen, China",,,
" State Key Laboratory of Virtual Reality Technology and Systems, Beihang University",,,
 ByteDance Research,,,
" Robotics and Autonomous Driving Laboratory, Baidu Research",,,
University of Kentucky,37.98869,-84.47772,US
Facebook,,,
Virginia Tech,37.22957,-80.41394,US
The Chinese University of Hong Kong,,,
" Key Laboratory of Machine Perception (MOE), School of EECS, Peking University",,,
 SenseTime Research,,,
2Google,,,
 3Technical University Munich,,,
" 1RWTH Aachen University, 2Google",,,
 1RWTH Aachen University,,,
"Visual Analysis of People (VAP) Laboratory, Aalborg University, Denmark",,,
"Google Research, NY",,,
" University of Maryland, College Park",,,
" Instituto Superior Técnico, Lisboa",,,
" Indian Institute of Science, Bengaluru",,,
Hong Kong University of Science and Technology,22.27832,114.17469,HK
 The Chinese University of Hong Kong and SmartMore,,,
 SmartMore,,,
"Megvii Research Nanjing, Megvii Technology, China",,,
" IHPC, A*STAR, Singapore",,,
" National Key Laboratory of Science and Technology on Multispectral Information Processing, School of Artiﬁcial Intelligence and Automation, Huazhong University of Science and Technology, Wuhan 430074, China",,,
" CSE Department, State University of New York at Buffalo",,,
"Dept. of Artiﬁcial Intelligence, Korea University, Seoul",,,
Tianjin University,39.14222,117.17667,CN
" Department of Automation, Tsinghua University",,,
" Department of Automation, Tsinghua University and Institute for Brain and Cognitive Sciences, Tsinghua University",,,
Carnegie Mellon University,40.44062,-79.99589,US
Tusimple (United States),32.71571,-117.16472,
ShanghaiTech University,31.22222,121.45806,CN
"Department of Computer Science, National University of Singapore",,,
" Department of Computer Science, National University of Singapore",,,
" Department of Mathematics, National University of Singapore",,,
KAUST,,,
University of Liège,50.63373,5.56749,BE
Aalborg University,57.048,9.9187,DK
"Heidelberg Collaboratory for Image Processing, IWR, Heidelberg University, Germany",,,
"Chalmers University of Technology, Sweden",,,
"Zhejiang University, Hangzhou, 310027, China",,,
" Department of Computer Science and Engineering, University of Notre Dame, Notre Dame, IN 46556, USA",,,
Harvard University,42.3751,-71.10561,US
"The Chinese University of Hong Kong, Shenzhen",,,
" CUHK - SenseTime Joint Lab, The Chinese University of Hong Kong",,,
Xi’an Jiaotong-Liverpool University,31.30408,120.59538,CN
Macau University of Science and Technology,22.20056,113.54611,MO
"University of York, UK",,,
" MIT - BCS, CSAIL & CBMM, USA",,,
" Aberystwyth University, UK",,,
" ARM Ltd, UK",,,
"Huawei Noah’s Ark Lab, Mila, Montr´eal",,,
" Huawei Noah’s Ark Lab, Technical University of Munich",,,
 Huawei Noah’s Ark Lab,,,
"Department of Computer Science and Engineering, The Chinese University of Hong Kong",,,
" Shenzhen Key Laboratory of Virtual Reality and Human Interaction Technology, Shenzhen Institutes of Advanced Technology, Chinese Academy of Sciences, China",,,
" Department of Computer Science and Engineering, University of South Carolina",,,
" College of Intelligence and Computing, Tianjin University",,,
Facebook AI Research (FAIR),,,
The University of Texas at Austin,30.26715,-97.74306,US
"DGene, Inc.",,,
University of Toronto,43.70643,-79.39864,CA
" ShanghaiTech University, Shanghai Institute of Microsystem and Information Technology, University of Chinese Academy of Sciences",,,
Shanghai University,31.22222,121.45806,CN
"School of Remote Sensing and Information Engineering, Wuhan University",,,
Microsoft Research (United Kingdom),52.2,0.11667,GB
Beijing Institute of Technology,39.9075,116.39723,CN
NASA Ames Research Center,,,
" University of California, Berkeley",,,
"Max Planck Institute for Informatics, Saarland Informatics Campus",,,
"Inception Institute of Artiﬁcial Intelligence, UAE",,,
" Australian National University, Australia",,,
" Inception Institute of Artiﬁcial Intelligence, UAE",,,
" CVL, Linköping University, Sweden",,,
" Data61-CSIRO, Australia",,,
"Noah’s Ark Lab, Huawei Technologies",,,
" School of Computer Science, Faculty of Engineering, University of Sydney",,,
" Key Lab of Machine Perception (MOE), Dept. of Machine Intelligence, Peking University",,,
" NELVT, Dept. of CS, Peking University",,,
Northeastern University,42.35843,-71.05977,US
"Center for Machine Vision and Signal Analysis, University of Oulu, Finland",,,
" Visual Recognition Group, Faculty of Electrical Engineering, Czech Technical University in Prague",,,
"Hikvision Research Institute, Hangzhou, China",,,
"Institute for Medical Imaging Technology, School of Biomedical Engineering, Shanghai Jiao Tong University, China",,,
" School of Computer Science, University of Sydney, Australia",,,
"Australian National University, ACRV, Data61, CSIRO",,,
" CVLab, EPFL",,,
" Australian National University, ACRV",,,
" Australian National University, Data61, CSIRO",,,
Microsoft Research Asia (China),39.9075,116.39723,CN
Carnegie Mellon University,40.44062,-79.99589,US
Bosch Center for Artiﬁcial Intelligence,,,
Max Planck Institute for Informatics,49.23262,7.00982,DE
"ETH Zurich, Switzerland",,,
" Beijing Lab of Intelligent Information Technology, School of Computer Science, Beijing Institute of Technology, China",,,
" Inception Institute of Artificial Intelligence, UAE",,,
" Baidu Research, National Engineering Laboratory of Deep Learning Technology and Application, China",,,
"Department of Electrical Engineering, Chalmers University of Technology",,,
" Centre for Mathematical Sciences, Lund University",,,
"Dalian University of Technology, China",,,
" Dalian University of Technology, China and Pengcheng Lab",,,
" Dalian University of Technology, China and Key Lab for Ubiquitous Network and Service Software of Liaoning Province, Dalian University of Technology, China",,,
University of Science and Technology of China,31.86389,117.28083,CN
South China University of Technology,23.11667,113.25,CN
" University of Adelaide, Australia",,,
"Google Research, Zurich",,,
University of Victoria,48.4359,-123.35155,CA
" Google Research, Toronto",,,
"Xiamen University, China",,,
" Peng Cheng Laboratory, China",,,
" School of Electronic and Computer Engineering, Peking University, China",,,
" NELVT, School of EE&CS, Peking University, Beijing, China",,,
" Nanyang Technological University, Singapore",,,
" University of Chinese Academy of Sciences, China",,,
"Research Center for Medical Bigdata, National Institute of Informatics",,,
"Paul G. Allen School of Computer Sci. & Eng., Univ. of Washington",,,
